央视,#genre#
CCTV4,http://39.135.138.8:6610/PLTV/88888888/224/3221225621/5/index.m3u8
CCTV5,http://39.135.138.8:6610/PLTV/88888888/224/3221225633/5/index.m3u8
CCTV5+,http://39.135.138.8:6610/PLTV/88888888/224/3221225649/5/index.m3u8
CCTV5+,http://39.135.138.8:6610/PLTV/88888888/224/3221225706/5/index.m3u8
CCTV6,http://39.135.138.8:6610/PLTV/88888888/224/3221225650/5/index.m3u8
CCTV6,http://39.135.138.8:6610/PLTV/88888888/224/3221225632/5/index.m3u8
CCTV7,http://39.135.138.8:6610/PLTV/88888888/224/3221225624/5/index.m3u8
CCTV7,http://39.135.138.8:6610/PLTV/88888888/224/3221225499/5/index.m3u8
CCTV7,http://39.135.138.8:6610/PLTV/88888888/224/3221225644/5/index.m3u8
CCTV8,http://39.135.138.8:6610/PLTV/88888888/224/3221225635/5/index.m3u8
CCTV8,http://39.135.138.8:6610/PLTV/88888888/224/3221225631/5/index.m3u8
CCTV9,http://39.135.138.8:6610/PLTV/88888888/224/3221225626/5/index.m3u8
CCTV9,http://39.135.138.8:6610/PLTV/88888888/224/3221225646/5/index.m3u8
CCTV10,http://39.135.138.8:6610/PLTV/88888888/224/3221225627/5/index.m3u8
CCTV10,http://39.135.138.8:6610/PLTV/88888888/224/3221225496/5/index.m3u8
CCTV10,http://39.135.138.8:6610/PLTV/88888888/224/3221225636/5/index.m3u8
CCTV11,http://39.135.138.8:6610/PLTV/88888888/224/3221225628/5/index.m3u8
CCTV12,http://39.135.138.8:6610/PLTV/88888888/224/3221225495/5/index.m3u8
CCTV12,http://39.135.138.8:6610/PLTV/88888888/224/3221225637/5/index.m3u8
CCTV13,http://39.135.138.8:6610/PLTV/88888888/224/3221225638/5/index.m3u8
CCTV14,http://39.135.138.8:6610/PLTV/88888888/224/3221225639/5/index.m3u8
CCTV14,http://39.135.138.8:6610/PLTV/88888888/224/3221225494/5/index.m3u8
CCTV14,http://39.135.138.8:6610/PLTV/88888888/224/3221225640/5/index.m3u8
CCTV15,http://39.135.138.8:6610/PLTV/88888888/224/3221225641/5/index.m3u8
CCTV17,http://39.135.138.8:6610/PLTV/88888888/224/3221225907/5/index.m3u8
CCTV17,http://39.135.138.8:6610/PLTV/88888888/224/3221225908/5/index.m3u8
CCTV17,http://39.135.138.8:6610/PLTV/88888888/224/3221225909/5/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225501/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.137.49.76:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV2,http://39.137.49.76:8080/PLTV/88888910/224/3221225500/index.m3u8
CCTV2,http://39.137.49.76:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.137.49.76:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.137.49.76:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.137.49.76:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.137.49.76:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888910/224/3221225756/index.m3u8
CCTV5+,http://39.137.49.76:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.137.49.76:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.137.49.76:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.137.49.76:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.137.49.76:8080/PLTV/88888910/224/3221225499/index.m3u8
CCTV7,http://39.137.49.76:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.137.49.76:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.137.49.76:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.137.49.76:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.137.49.76:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.137.49.76:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://39.137.49.76:8080/PLTV/88888910/224/3221225920/index.m3u8
